title,subtitle,categories,authors,isbn13,thumbnail,description,num_pages
Bullshit and Philosophy,Guaranteed to Get Perfect Results Every Time,"family, relationships",Gary L. Hardcastle;George A. Reisch,9780812696110,http://books.google.com/books/content?id=A4CBZu_5rKoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Bullshit is booming, both in the popular media and in the cloisters of academia. Bullshit studies received a tremendous boost from the pioneering work of Harry G. Frankfurt, and yet Frankfurt's seminal theses opened up more questions than they answered.",288.0
Islam,A Short History,religion,Karen Armstrong,9780812966183,http://books.google.com/books/content?id=HIJG0bB5yNQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Traces the history of Islam, from the flight of Muhammad and the founding of the first mosques to the development of the modern Muslim state, and examines its present beliefs and practices.",230.0
A Working Stiff's Manifesto,"A Memoir of Thirty Jobs I Quit, Nine that Fired Me, and Three I Can't Remember","biography, autobiography",Iain Levison,9780812967944,http://books.google.com/books/content?id=oyYDAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Over the course of ten years Levison worked 42 odd jobs across six states. A vivid and striking tour of wage labor in America, this book is perfect reading for anyone who has raced against the tick of a time clock.",164.0
Funny in Farsi,A Memoir of Growing Up Iranian in America,"biography, autobiography",Firoozeh Dumas,9780812968378,http://books.google.com/books/content?id=PNh9-d69MJ4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An autobiography of growing up as an Iranian-American describes the author's family's 1971 move from Iran to Southern California, the members of her diverse family, and their struggle with culture shock.",240.0
The Birth of Venus,A Novel,fiction,Sarah Dunant,9780812968972,http://books.google.com/books/content?id=uTLuAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Turning fifteen in Renaissance Florence, Alessandra Cecchi becomes intoxicated with the works of a young painter whom her father has brought to the city to decorate the family's Florentine palazzo, a situation that is complicated by her unwanted arranged marriage to an older man and a battle between the Medici family and the fundamentalist followers of Savonarola. Reader's Guide included. Reprint. 200,000 first printing.",427.0
The Knight Of Maison-Rouge,A Novel of Marie Antoinette,fiction,Alexandre Dumas,9780812969634,http://books.google.com/books/content?id=vCNJvqEh4dsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""Paris, 1793. The onset of the Terror. A brave Republican named Maurice rescues a mysterious and beautiful woman from an angry mob and is unknowingly dragged into a secret Royalist plot involving the imprisoned Queen of France, Marie Antoinette, and her enigmatic, fearless champion, the Knight of Maison-Rouge."" -- cover.",448.0
A War Like No Other,How the Athenians And Spartans Fought the Peloponnesian War,history,Victor Davis Hanson,9780812969702,http://books.google.com/books/content?id=v7q94Nxje8MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A colorful history of the Peloponnesian War and its dramatic repercussions on the history of ancient Greece brings to life the events of the conflict, its impact on the great city-states of Athens and Sparta, and the personalities involved, including Pericles, Alcibiades, Sophocles, Thucydides, and others. Reprint. 35,000 first printing.",397.0
Reading Lolita in Tehran,A Memoir in Books,"biography, autobiography",Azar Nafisi,9780812971064,http://books.google.com/books/content?id=xOOgRlo5SgQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Describes growing up in the Islamic Republic of Iran and the group of young women who came together at her home in secret every Thursday to read and discuss great books of Western literature, explaining the influence of Lolita, The Great Gatsby, Pride and Prejudice, and other works on their lives and goals. Reprint. 50,000 first printing.",356.0
Color,A Natural History of the Palette,art,Victoria Finlay,9780812971422,http://books.google.com/books/content?id=dnvTmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Examining the physical materials that color the world, a freelance journalist explores the social, political, and cultural implications of color throughout history. Reprint. 15,000 first printing.",464.0
No God But God,"The Origins, Evolution, and Future of Islam",religion,Reza Aslan,9780812971897,http://books.google.com/books/content?id=ERvuBmZem5oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An authoritative study of the Islamic faith in relation to the other world religions sheds new light on its origins and history, from the social reformation role of Muhammad to the impact of fundamentalism and terrorism on Islam. Reprint. 35,000 first printing.",310.0
Fooled By Randomness,The Hidden Role Of Chance In Life And In The Markets,"business, economics",Nassim Taleb,9780812975215,http://books.google.com/books/content?id=4eLKm33WneEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Contends that randomness and probability have a large impact on life, claims that people regularly fail to recognize that role, and tells how to differentiate between randomness in general and the financial markets in particular.",368.0
The March,A Novel,fiction,E. L. Doctorow,9780812976151,http://books.google.com/books/content?id=bKC5iVZwk5cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Union General William Tecumseh Sherman's devastating march through Georgia and the Carolinas during the final years of the Civil War has a profound impact on the outcome of the war, in a richly textured, evocative historical novel that captures the full experience of the diverse characters caught up in the struggle. Reader's Guide available. Reprint. 350,000 first printing.",363.0
Holding on to the Air,An Autobiography,"biography, autobiography",Suzanne Farrell;Toni Bentley,9780813025933,http://books.google.com/books/content?id=fGKlQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The life and accomplishments of one of America's most famous ballerinas is highlighted in this monumental portrait of Suzanne Farrell, the celebrated muse to George Balanchine. (Performing Arts)",352.0
