title,subtitle,categories,authors,isbn13,thumbnail,description,num_pages
The Skeptic's Dictionary,"A Collection of Strange Beliefs, Amusing Deceptions, and Dangerous Delusions",science,Robert Carroll,9780471272427,http://books.google.com/books/content?id=h7m6NAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A wealth of evidence for doubters and disbelievers ""Whether it's the latest shark cartilage scam, or some new 'repressed memory' idiocy that besets you, I suggest you carry a copy of this dictionary at all times, or at least have it within reach as first aid for psychic attacks. We need all the help we can get."" -James Randi, President, James Randi Educational Foundation, randi.org ""From alternative medicine, aliens, and psychics to the farthest shores of science and beyond, Robert Carroll presents a fascinating look at some of humanity's most strange and wonderful ideas. Refreshing and witty, both believers and unbelievers will find this compendium complete and captivating. Buy this book and feed your head!"" -Clifford Pickover, author of The Stars of Heaven and Dreaming the Future ""A refreshing compendium of clear thinking, a welcome and potent antidote to the reams of books on the supernatural and pseudoscientific."" -John Allen Paulos, author of Innumeracy and A Mathematician Reads the Newspaper ""This book covers an amazing range of topics and can protect many people from being scammed."" -Stephen Barrett, M.D., quackwatch.org Featuring close to 400 definitions, arguments, and essays on topics ranging from acupuncture to zombies, The Skeptic's Dictionary is a lively, commonsense trove of detailed information on all things supernatural, occult, paranormal, and pseudoscientific. It covers such categories as alternative medicine; cryptozoology; extraterrestrials and UFOs; frauds and hoaxes; junk science; logic and perception; New Age energy; and the psychic. For the open-minded seeker, the soft or hardened skeptic, and the believing doubter, this book offers a remarkable range of information that puts to the test the best arguments of true believers.",446.0
Color Drawing,"Design Drawing Skills and Techniques for Architects, Landscape Architects, and Interior Designers",architecture,Michael E. Doyle,9780471292456,http://books.google.com/books/content?id=f6NCc9SYu0IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Stunningly updated, totally redesigned, practical, and ready to use This new edition of Michael Doyle's classic Color Drawing is the ultimate up-to-date resource for professionals and students who need to develop and communicate design ideas with clear, attractive, impressive color drawings. In an easy to use, step-by-step approach, this comprehensive guide presents a total system of color design drawing that encompasses approaches to sketch communication as well as more finished presentation drawing. Totally redesigned to provide quick, easy access to key information, this Second Edition covers the basics of color phenomena, media, techniques, and approaches to illustrating materials necessary to communicate design ideas. With nearly 400 new color illustrations, it contains a new section on color and design principles for creating more sophisticated presentation drawings and offers innovative ideas for the reproduction and distribution of finished drawings. Color Drawing features: * A complete body of illustrated instruction that demonstrates the development of design ideas from initial concept through presentation drawing * Finely honed explanations of each technique and process * Faster and easier ways to create design drawings * Methods for combining hand-drawn and computer-generated drawing techniques This remarkably versatile volume is both an illuminating textbook and a completely reliable self-teaching tool, as well as a handy quick reference. It is an excellent guide for students at any level and an unparalleled resource for design professionals.",360.0
Bad Astronomy,"Misconceptions and Misuses Revealed, from Astrology to the Moon Landing ""Hoax""",science,Philip C. Plait,9780471409762,http://books.google.com/books/content?id=3NBaBaKCbqoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Advance praise for Philip Plait s Bad Astronomy ""Bad Astronomy is just plain good! Philip Plait clears up every misconception on astronomy and space you never knew you suffered from."" --Stephen Maran, Author of Astronomy for Dummies and editor of The Astronomy and Astrophysics Encyclopedia ""Thank the cosmos for the bundle of star stuff named Philip Plait, who is the world s leading consumer advocate for quality science in space and on Earth. This important contribution to science will rest firmly on my reference library shelf, ready for easy access the next time an astrologer calls."" --Dr. Michael Shermer, Publisher of Skeptic magazine, monthly columnist for Scientific American, and author of The Borderlands of Science ""Philip Plait has given us a readable, erudite, informative, useful, and entertaining book. Bad Astronomy is Good Science. Very good science..."" --James ""The Amazing"" Randi, President, James Randi Educational Foundation, and author of An Encyclopedia of Claims, Frauds, and Hoaxes of the Occult and Supernatural ""Bad Astronomy is a fun read. Plait is wonderfully witty and educational as he debunks the myths, legends, and 'conspiracies that abound in our society. 'The Truth Is Out There' and it's in this book. I loved it!"" --Mike Mullane, Space Shuttle astronaut and author of Do Your Ears Pop in Space?",277.0
The Warren Buffett CEO,Secrets from the Berkshire Hathaway Managers,"business, economics",Robert P. Miles,9780471430452,http://books.google.com/books/content?id=uKOPrA4Ib9kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,The first book to fully explore the Warren Buffet investment philosophy introduces readers to the strategies and fundamentals adopted by this successful management team.,432.0
The Science of Sherlock Holmes,"From Baskerville Hall to the Valley of Fear, the Real Forensics Behind the Great Detective's Greatest Cases",law,E. J. Wagner,9780471648796,http://books.google.com/books/content?id=6h29NAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Praise for The Science of Sherlock Holmes ""Holmes is, first, a great detective, but he has also proven to be a great scientist, whether dabbling with poisons, tobacco ash, or tire marks. Wagner explores this fascinating aspect of his career by showing how his investigations were grounded in the cutting-edge science of his day, especially the emerging field of forensics.... Utterly compelling."" —Otto Penzler, member of the Baker Street Irregulars and proprietor of The Mysterious Bookshop ""E. J. Wagner demonstrates that without the work of Sherlock Holmes and his contemporaries, the CSI teams would be twiddling their collective thumbs. Her accounts of Victorian crimes make Watson's tales pale! Highly recommended for students of the Master Detective."" —Leslie S. Klinger, Editor, The New Annotated Sherlock Holmes ""In this thrilling book, E. J. Wagner has combined her considerable strengths in three disciplines to produce a work as compelling and blood-curdling as the best commercial fiction. This is CSI in foggy old London Town. Chilling, grim fun."" —John Westermann, author of Exit Wounds and Sweet Deal ""I am recommending this delightful work to all of my fellow forensic scientists.... Bravo, Ms. Wagner!"" —John Houde, author of Crime Lab: A Guide for Nonscientists ""A fabulously interesting read. The book traces the birth of the forensic sciences to the ingenuity of Sherlock Holmes. A wonderful blend of history, mystery, and whodunit."" —Andre Moenssens, Douglas Stripp Professor of Law Emeritus, University of Missouri at Kansas City, and coauthor of Scientific Evidence in Civil and Criminal Cases",244.0
All the Shah's Men,An American Coup and the Roots of Middle East Terror,history,Stephen Kinzer,9780471678786,http://books.google.com/books/content?id=LRuRQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This is the first full-length account of the CIA's coup d'etat in Iran in 1953—a covert operation whose consequences are still with us today. Written by a noted New York Times journalist, this book is based on documents about the coup (including some lengthy internal CIA reports) that have now been declassified. Stephen Kinzer's compelling narrative is at once a vital piece of history, a cautionary tale, and a real-life espionage thriller.",272.0
Information Technology for Management,Transforming Organizations in the Digital Economy,computers,Efraim Turban,9780471705222,http://books.google.com/books/content?id=8V9GAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"IT's Going Global... From Shanghai to San Francisco, IT is playing an increasingly vital role in helping organizations gain the competitive advantage around the globe. That's why the Fifth Edition of ""Information Technology for Management"" offers a global perspective on how IT is transforming business. In this comprehensive, up-to-date Fifth Edition, Efraim Turban, Ephraim McLean, James Wetherbe, and new coauthor Dorothy Leidner present late-breaking developments in the field, as well as a new chapter on Global Interorganizational Systems. IT's About Transformation: The text focuses on how organizations operate and compete in the digital economy, and how IT can assist this transformation. The new edition also features increased strategy coverage. IT's Current: The Fifth Edition introduces new research, current examples and case studies, and updated reference materials. IT's Managerial: The text's strong managerial orientation makes IT relevant and interesting to business students. Technological topics are conveniently covered in six technology guides at the end of the text. IT's Wireless: A special chapter covers innovations and opportunities in mobile computing and the wireless revolution. IT's Hands-on: Students solve realistic IT problems when they are ""hired"" as interns at The Wireless Cafe, a simulated high-tech restaurant in Shanghai.",724.0
Limbo,"Blue-Collar Roots, White-Collar Dreams","social, science",Alfred Lubrano,9780471714392,http://books.google.com/books/content?id=rGvDDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"In Limbo, award-winning journalist Alfred Lubrano identifies and describes an overlooked cultural phenomenon: the internal conflict within individuals raised in blue-collar homes, now living white-collar lives. These people often find that the values of the working class are not sufficient guidance to navigate the white-collar world, where unspoken rules reflect primarily upper-class values. Torn between the world they were raised in and the life they aspire too, they hover between worlds, not quite accepted in either. Himself the son of a Brooklyn bricklayer, Lubrano informs his account with personal experience and interviews with other professionals living in limbo. For millions of Americans, these stories will serve as familiar reminders of the struggles of achieving the American Dream.",248.0
Lady on the Hill,How Biltmore Estate Became an American Icon,travel,Howard E. Covington,9780471758181,http://books.google.com/books/content?id=YFp5AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Lady on the Hill tells the inspiring story of the thirty-five-year effort to restore this fading beauty to her former glory--all without a penny of government funding or outside foundation grants. Central to this true-life tale of rebirth against the odds is George Vanderbilt's grandson William A. V. Cecil, a well-mannered, highly educated man who, when caught up in an idea, becomes a whirling dervish, generating enough energy and enthusiasm to motivate everyone around him. And, according to author Howard Covington Jr., Cecil gets a week's worth of ideas before he's done with his Monday morning shave. In the late 1950s, attorneys, financial managers, and tax accountants were united in advising Cecil and his brother, George, to sell off the estate's 12,000 acres in order to create a suburban subdivision. Cecil quietly ignored this advice and came up with a better idea: over the next four decades, he would turn this down-at-the-heels mansion that was a drain on the family business into the most successful, privately preserved historic site in the United States, perhaps even the world. Cecil succeeded beyond even his wildest dreams. Not only did he raise the money needed to begin and continue a painstaking, decades-long restoration of the house itself, but he also achieved a goal that even his grandfather had found elusive. He made Biltmore Estate a self-sustaining, working enterprise that included a vibrant tourist destination, a working winery and vineyard, and a farming operation; employed hundreds of people; and attracted hundreds of millions of dollars to the local economy every year. Lady on the Hill tells a lively tale of eccentric, upper-crust characters, seemingly insurmountable obstacles, and one man's determination, innovation, loyalty, and stubborn persistence to succeed against the odds. It also provides a brilliant, if unorthodox, model for anyone involved with the preservation and restoration of a historic home.",331.0
Power of An Hour,Business and Life Mastery in One Hour A Week,"business, economics",Dave Lakhani,9780471780939,http://books.google.com/books/content?id=idPQNAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Praise for The Power of an Hour ""The master at getting what you want from others now tells us how to get what we want from ourselves! This is really a great book, and I recommend it highly-for you, for your team, and for your children."" -Bob Burg, author, Endless Referrals ""If you want to make predictable, systematic change in your life or your business, buy this book. Each chapter is a stand-alone system that results in powerful change . . . fast."" -David Hancock, The Entrepreneurial Publisher, CEO, Morgan James Publishing ""Dave's methods helped me take my business from $0 to $10 million in sales.If you're a creative business owner who wants total focus and massive success, run, don't walk, and get this book!"" -Stephanie Frank, author, The Accidental Millionaire ""The Power of an Hour is a mighty powerful way to sort out your financesby first sorting out yourself!"" -Mark Joyner, #1 bestselling author, The Irresistible Offer ""The disease of the twenty-first century, no matter who you are or what you do,is Time Deficit Disorder. Dave Lakhani offers a brilliant solution in this book.Get it and take the cure-you'll be surprised how much better you feel!"" -David Garfinkel, author, Customers on Demand",205.0
The Science of Stephen King,"From Carrie to Cell, The Terrifying Truth Behind the Horror Masters Fiction","literary, criticism",Lois H. Gresh;Robert Weinberg,9780471782476,http://books.google.com/books/content?id=ns5kJxqNcUUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Introduction: Where Science and Fiction Intersect -- From Proms to Cells: The Psychic World of Stephen King -- Carrie -- Firestarter -- The Dead Zone -- Hearts in Atlantis Cell -- The Green Mile -- On the Highway with Stephen King -- ""Trucks""--They Came From Outer Space -- Dreamcatcher -- The Tommyknockers -- The Fourth Horseman -- The Stand -- Up the Dimensions with Stephen King -- The Dark Tower I: The Gunslinger -- Insomnia -- Traveling in Time with Stephen King - The Langoliers -- Parallel Worlds -- ""The Mists"" -- From a Buick 8 -- The Dark Tower -- The Tailisman -- Longevity an Genetic Research - The Golden Years -- Evil, Obsession, and Fear -- The Tommyknockers -- Carrie -- The Talisman -- It -- The Stand -- Danse Macabre -- The Shining -- Misery -- ""Night Surf.""",272.0
Feminist Measures,Soundings in Poetry and Theory,"social, science",Lynn Keller;Cristanne Miller,9780472064847,http://books.google.com/books/content?id=KADTtlj82WIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Explores the role of gender in poetic production, the tensions between poetry and contemporary literary theory, and the fluid boundaries between theoretical and literary writing.",424.0
Their Sisters' Keepers,"Women's Prison Reform in America, 1830-1930",history,Estelle B. Freedman,9780472080526,http://books.google.com/books/content?id=Pa8JcZhehLQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,This study of prison reform adds a new chapter to the history of women's struggle for justice in America,272.0
The Will to Believe,"And Other Essays in Popular Philosophy, and Human Immortality",philosophy,William James,9780486202914,http://books.google.com/books/content?id=8qRGDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Intellect, will, belief, chance, and free will are among the topics touched upon in two works by the American psychologist",448.0
Lost Continents,"The Atlantis Theme in History, Science, and Literature","social, science",Lyon Sprague De Camp,9780486226682,http://books.google.com/books/content?id=3YHwFivT-ykC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Examines the mythologies, mystic cults, literary works and dissentations which have been presented with the theme of lost continents from Plato's dialogues.",363.0
1001 Illuminated Initial Letters,27 Full-Color Plates,design,Owen Jones,9780486256078,http://books.google.com/books/content?id=hocfAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"The illuminated letters in this volume by the great Victorian designer Owen Jones, many taken from an illustrated edition of ""The Psalms of David, "" represent popular alphabet motifs that have been copied by artists and designers for more than a century throughout Europe and North America. Each page of this versatile archive contains approximately 40 magnificently embellished individual letters of the alphabet. (There's also an additional page of equally attractive Arabic and Roman numerals.) Foliated and filigreed designs--ranging from small to large, simple to spectacular--display the meticulous craftsmanship and attention to detail that have become synonymous with Victorian design. Commercial artists, graphic designers, and craftspeople will find this elegant and versatile treasury of copyright-free decorative letters an excellent and indispensable sourcebook for graphic projects calling for old-fashioned Victorian charm.Republication of the edition published by Day & Son, London, and Ludwig Denicke, Leipzig, 1864.",32.0
Galapagos,World's End,nature,William Beebe,9780486256429,http://books.google.com/books/content?id=wFKrGA5-lRoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"More than 100 splendid illustrations enhance this fascinating firsthand account of a 1923 expedition to survey the wildlife of the Galápagos Islands. Beebe, a renowned biologist and explorer, combines literary skill with careful research to produce an exceptionally readable book. ""High romance, exact science, fascinating history, wild adventure."" — Nation.",528.0
A Diderot Pictorial Encyclopedia of Trades and Industry,"Manufacturing and the Technical Arts in Plates Selected from ""L'Encyclopédie, Ou Dictionnaire Raisonné Des Sciences, Des Arts, Et Des Métiers"" of Denis Diderot",design,Denis Diderot,9780486274287,http://books.google.com/books/content?id=lfT3wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"First paperbound edition of 485 remarkable plates (over 2,000 illustrations) that accompanied landmark work of the Enlightenment. Sharply detailed royalty-free images depict agriculture, military science, metalwork, mining, textile manufacture, masonry, carpentry, much more. Invaluable resource for art and craft use. Introduction and detailed captions by Charles C. Gillispie. Bibliography.",239.0
The Marriage of Heaven and Hell,In Full Color,art,William Blake,9780486281223,http://books.google.com/books/content?id=nt4Bwy6LDrwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,This vivid facsimile of Blake's romantic and revolutionary publication offers a concise expression of his essential wisdom and philosophy. His distinctive hand-lettered text is accompanied by 27 color plates of his stirring illustrations.,48.0
Children's Christmas Stories and Poems,In Easy-to-Read Type,"juvenile, fiction",Candace Ward,9780486286563,http://books.google.com/books/content?id=Iv4nK-EmQ3wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A shortened version of Dicken's ""A Christmas Carol"" is accompanied by Christmas stories, poems, and songs",96.0
The Oresteia Trilogy,"Agamemnon, the Libation-Bearers and the Furies",drama,Aeschylus;E. D. A. Morshead,9780486292427,http://books.google.com/books/content?id=Bg0mDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Classic trilogy by great tragedian deals with the bloody history of the House of Atreus. Grand in style, rich in diction and dramatic dialogue, the plays embody Aeschylus' concerns with the destiny and fate of both individuals and the state, all played out under the watchful eye of the gods.",151.0
Enter Jeeves,15 Early Stories,fiction,P. G. Wodehouse;David A. Jasen,9780486297170,http://books.google.com/books/content?id=zFckAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Splendid collection contains first eight stories featuring Bertie Wooster, the deliciously dim aristocrat and Jeeves, his brainy, imperturbable manservant. Also, the complete Reggie Pepper (Bertie's prototype) series.",256.0
The Wit and Wisdom of Mark Twain,A Book of Quotations,"literary, criticism",Mark Twain,9780486406640,http://books.google.com/books/content?id=D1iMCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"An anthology of wit and wisdom by Mark Twain collects quotations on a wide range of subjects, including life, love, history, culture, travel, and politics.",64.0
Life Is a Dream/La Vida Es Sueño,A Dual-Language Book,"foreign, language, study",Pedro Calderon de la Barca;Stanley Appelbaum,9780486424736,http://books.google.com/books/content?id=OpUoAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Presents a bilingual version of the classic seventeenth-century Spanish play about an imprisoned prince who is returned to the outside world.,208.0
The Sword of Welleran,And Other Stories,fiction,Lord Dunsany,9780486442174,http://books.google.com/books/content?id=K2ZcyQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Twelve tales by a master of the English language take readers on flights of fancy and make-believe. Enhanced by the author's power of expression and 10 ethereal illustrations by S. H. Simes, the collection includes such inventive tales as ""The Highwayman,"" ""In the Twilight,"" ""The Ghosts,"" ""The Lord of Cities,"" and the title piece.",112.0
Great Speeches by African Americans,"Frederick Douglass, Sojourner Truth, Dr. Martin Luther King, Jr., Barack Obama, and Others","social, science",James Daley,9780486447612,http://books.google.com/books/content?id=XMUsAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Følger kampen for frihed og menneskerettigheder i 150 år. Denne antologi indeholder taler af indflydelsesrige historiske personer indenfor Afro-amerikansk kultur og politik,160.0
On the Origin of Species,By Means of Natural Selection,science,Charles Darwin,9780486450063,http://books.google.com/books/content?id=PoMyAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"States the evidence for a theory of evolution, explains how evolution takes place, and discusses instinct, hybridism, fossils, distribution, and classification.",336.0
The Seventy Wonders of the Ancient World,The Great Monuments and how They Were Built,architecture,Christopher Scarre,9780500050965,http://books.google.com/books/content?id=BHaQQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A survey of the world's great ancient wonders from the Great Temple of the Aztecs, to the Nazca lines of Peru, including answers to how the architecture was created and for what purpose.",304.0
Graphic Design,A Concise History,art,Richard Hollis,9780500203477,http://books.google.com/books/content?id=GI9tngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"From its roots in the development of printing, graphic design has evolved as a means of identification, information, and promotion to become a profession and discipline in its own right. This authoritative documentary history begins with the poster and goes on to chart the development of word and image in brochures and magazines, advertising, corporate identity, television, and electronic media, and the impact of technical innovations such as photography and the computer. For the revised edition, a new final chapter covers all the recent international developments in graphic design, including the role of the computer and the Internet in design innovation and globalization. In the last years of the twentieth century, at a time when ""designer products"" and the use of logos grew in importance, the role of graphic designers became more complex, subversive, and sometimes more politicalwitness Oliviero Toscani's notorious advertisements for Benetton. Digital technology cleared the way for an astonishing proliferation of new typefaces, and words began to take second place to typography in a whole range of magazines and books as designers asserted the primacy of their medium. Designers and companies discussed here include Neville Brody, David Carson, Design Writing Research, Edward Fella, Tibor Kalman, Jeffery Keedy, LettError, Pierre di Sciullo, Tomato, Gerard Unger, Cornel Windlin, and a host of others. Over 800 illustrations, 30 in color.",232.0
Cravings,By Laurell K. Hamilton,fiction,MaryJanice Davidson;Eileen Wilks;Rebecca York,9780515138153,http://books.google.com/books/content?id=sj9WHs6AA34C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Otherwordly pleasure and dangerous desire stalk the night as immortal creatures, ravenous and unforgiving, take their prey to the brink of ecstasy and fear, in this sensual collection of stories from four best-selling authors--Laurell K. Hamilton, MaryJanice Davidson, Eileen Wilks, and Rebecca York. Original.",358.0
John Irving,Three Complete Novels,fiction,John Irving,9780517146545,http://books.google.com/books/content?id=m08LAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The first three novels of this highly acclaimed, New York Times best-selling author. Compassionate, satirical, deeply insightful and humorous, these compelling novels have gained him millions of fans. Includes Setting Free the Bears, The Water-Method Man, and The 158-Pound Marriage.",718.0
The Orion Mystery,Unlocking the Secrets of the Pyramids,history,Robert Bauval,9780517884546,http://books.google.com/books/content?id=XLSerhdFKVsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Drawing on more than a decade of research, this eye-opening account of one of the great mysteries of the ancient world links the construction of the pyramids and Egyptian religion to precise astronomical study. TV tie-in. 20,000 first printing.",352.0
The Haunted Screen,Expressionism in the German Cinema and the Influence of Max Reinhardt,"performing, arts",Lotte H. Eisner,9780520024793,http://books.google.com/books/content?id=APHvT248QLQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Book on expressionism in German motion pictures.,360.0
The Politics of Cultural Despair,A Study in the Rise of the Germanic Ideology,history,Fritz R. Stern,9780520026261,http://books.google.com/books/content?id=c6wwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This is a study in the pathology of cultural criticism. By analyzing the thought and influence of three leading critics of modern Germany, this study will demonstrate the dangers and dilemmas of a particular type of cultural despair. Lagarde, Langbehn, and Moeller van den Bruck-their active lives spanning the years from the middle of the past century to the threshold of Hitler's Third Reich-attacked, often incisively and justly, the deficiencies of German culture and the German spirit. But they were more than the critics of Germany's cultural crisis; they were its symptoms and victims as well. Unable to endure the ills which they diagnosed and which they had experienced in their own lives, they sought to become prophets who would point the way to a national rebirth. Hence, they propounded all manner of reforms, ruthless and idealistic, nationalistic and utopian. It was this leap from despair to utopia across all existing reality that gave their thought its fantastic quality.",367.0
The Responsibility of Forms,"Critical Essays on Music, Art, and Representation","literary, criticism",Roland Barthes,9780520072381,http://books.google.com/books/content?id=XTLuwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"These late essays of Roland Barthes's are concerned with the visible and the audible, and here the preoccupations are particularly intense and rewarding, in part because Barthes was himself, by predilection, an artist and a musician, and in part because he was of two minds about the very possibility of attaching to art and to music a written text, a criticism.",320.0
Balanchine,A Biography,"biography, autobiography",Bernard Taper,9780520206397,http://books.google.com/books/content?id=fztBS9mc-Q8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Written with wit, insight, and candor, Balanchine is a book that will delight lovers of biography as well as those with a special interest in dance. For this edition the author has added a thoughtful yet dramatic account of the working out of Balanchine's legacy, from the making of his controversial will to the present day. The author explores the intriguing legal, financial, and institutional subplots that unfolded after the death of the greatest choreographer of the century, but the central plot of his epilogue is the aesthetic issue: In the absence of their creator, can the ballets retain their wondrous vitality? Taper illuminates the fascinating transmission of Balanchine's masterworks from one generation to another, an unprecented legacy in the history of ballet, that most evanescent of the arts.",413.0
Infections and Inequalities,The Modern Plagues,medical,Paul Farmer,9780520229136,http://books.google.com/books/content?id=gnWc1e0-7tAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Argues that illnesses such as AIDS and drug-resistant tuberculosis, malaria, and typhoid target poor communities.",424.0
Undertaker of the Mind,John Monro and Mad-doctoring in Eighteenth-century England,"biography, autobiography",Jonathan Andrews;Andrew T. Scull,9780520231511,http://books.google.com/books/content?id=_zYTngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""Undertaker of the Mind is the most splendid piece of original research for many a year on the early history of British psychiatry. Brilliantly exploiting hitherto unused documentation, Andrews and Scull bring the once murky world of the eighteenth- century mad-doctor to life, and dispel many deeply embedded myths in the process. Absolutely essential reading!""--Roy Porter, author of The Creation of the Modern World ""This is a wonderfully well-written work... The authors reconstruct, in rich and convincing detail, the dilemmas faced by Monro, his patients, their families, and the broader culture when confronted with psychological distress.""--Joel Braslow, author of Mental Ills and Bodily Cures ""A telling reconstruction of the ideas and practice of probably the most famous psychiatrist in eighteenth-century Britain.... The analyses of Monro's more famous cases, Cruden, Ferrers, etc., are both stimulating and entertaining.""--William Bynum, author of Science and the Practice of Medicine in the Nineteenth Century",386.0
Exiled in Paris,"Richard Wright, James Baldwin, Samuel Beckett, and Others on the Left Bank","biography, autobiography",James Campbell,9780520234413,http://books.google.com/books/content?id=zcp4GAk8SmIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This is the first book to explore the English-language literary scene in Paris after World War II, including the intersecting lives of Richard Wright, Samuel Beckett, James Baldwin, and Maurice Girodias.",304.0
The Whole World Is Watching,Mass Media in the Making and Unmaking of the New Left,"political, science",Todd Gitlin,9780520239326,http://books.google.com/books/content?id=VbkwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This study examines the way news organizations, as the category implies, ""organize"" the news world, both for practitioners - reporters, editors and managers - and for the consumers - readers, viewers and perhaps even more important, decision-makers.",352.0
Berlioz,"Servitude and Greatness, 1832-1869","biography, autobiography",David Cairns,9780520240582,http://books.google.com/books/content?id=EwIskvIA5yQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Covers the life of the French composer, including his struggle to establish himself in Paris and how his work was created.",907.0
The Poems of Exile,Tristia and the Black Sea Letters,history,Ovid,9780520242609,http://books.google.com/books/content?id=cyEI5755N2UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"""This is no small achievement. For the language-lover the translation provides elegant, flowing English verse, for the classicist it conveys close approximation to the Latin meaning coupled with a sense of the movement and rhythmic variety of Ovid's language""--Geraldine Herbert-Brown, editor of Ovid's Fasti: Historical Readings at its Bimillennium ""This book fills a gap. There is no similar annotated English translation of Ovid's exile poetry. Thoroughly grounded in Ovidian scholarship, Green's introduction and notes are helpful and informative. The translation is accurate, idiomatic, and lively, closely imitating the Latin elegiac couplet and capturing Ovid's changing moods.""--Karl Galinsky, author of Ovid's Metamorphoses: An Introduction to the Basic Aspects",451.0
Pathologies of Power,"Health, Human Rights, and the New War on the Poor",history,Paul Farmer,9780520243262,http://books.google.com/books/content?id=HacwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"""Pathologies of Power"" uses harrowing stories of life and death to argue thatthe promotion of social and economic rights of the poor is the most importanthuman rights struggle of our times.",438.0
Giovanni and Lusanna,Love and Marriage in Renaissance Florence,history,Gene Brucker,9780520244955,http://books.google.com/books/content?id=47EwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"""Set against the grindstone of social class, this story of Lusanna versus Giovanni, gleaned from the archives of Renaissance Florence, throws a floodlight on relations between the sexes. Gene Brucker's wonderful account has remarkable resonance.""—Lauro Martines, author of April Blood “In the years since it first appeared, Gene Brucker's Giovanni and Lusanna has attracted a large and loyal readership. There is no better introduction to the complex realities of life (and love) in Florence during the Renaissance.”—William J. Connell, Professor of History and La Motta Chair in Italian Studies, Seton Hall University PRAISE FOR THE PREVIOUS EDITION: ""At its core, this splendid study is about stubborn love and the forms of law, and the impossibility of each to accommodate the ultimate claims of the other.""—New York Times Book Review",160.0
Storming the Gates of Paradise,Landscapes for Politics,history,Rebecca Solnit,9780520251090,http://books.google.com/books/content?id=BtG1-Scm08kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"An anthology of nearly forty essays, representing the author's work over the past ten years, offers an insightful overview of American politics, current affairs, culture, society, and history, written from the perspective of a noted environmentalist, anti-globalization activist, and public intellectual. By the author of A Field Guide to Getting Lost.",416.0
Gardening with a Wild Heart,Restoring California's Native Landscapes at Home,gardening,Judith Larner Lowry,9780520251748,http://books.google.com/books/content?id=Kit0gMn0X90C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Essays discuss wildflower gardening, the ecology of native grasses, wildland seed collecting, principles of natural design, and plant/animal interactions for California gardens.",267.0
